,occur_id,status,hours_program_total,pop_served_list,impact_area,impact_outcome,opportunity_name,schedule_type,reg_type,location,start_date_time,end_date_time,opportunity_coordinator,opportunity_coordinator_email,vol_leader_need,max_attend,min_attend,vol_confirmed,vol_in_need,num_attend,num_not_attend,hours_occur_total,opportunity_record_id
0,OC-028456,Active,306.0,"['Environmental education', ' Integrated']",Environmental Conservation ,,Serve-A-Thon: Soap Recycling 1:30 p.m. session (Family Welcome),Date & Time Specific,Sign Up,Soap Cycling,"20/9/2020, 1:30 pm","20/9/2020, 3:30 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,16.0,5.0,10.0,6.0,8.0,2.0,16.0,a0N0I00001AFCUy
1,OC-028457,Active,306.0,"['Environmental education', ' Integrated']",Environmental Conservation ,,Serve-A-Thon: Soap Recycling 1:30 p.m. session (Family Welcome),Date & Time Specific,Sign Up,Soap Cycling,"27/9/2020, 1:30 pm","27/9/2020, 3:30 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,30.0,5.0,27.0,3.0,27.0,0.0,54.0,a0N0I00001AFCUy
2,OC-028452,Active,194.0,['Integrated'],Environmental Conservation ,,Serve-A-Thon: Soap Recycling 10 a.m. session (Family Welcome),Date & Time Specific,Sign Up,Soap Cycling,"20/9/2020, 10:00 am","20/9/2020, 12:00 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,30.0,5.0,27.0,3.0,27.0,0.0,54.0,a0N0I00001AFCcJ
3,OC-028453,Active,194.0,['Integrated'],Environmental Conservation ,,Serve-A-Thon: Soap Recycling 10 a.m. session (Family Welcome),Date & Time Specific,Sign Up,Soap Cycling,"27/9/2020, 10:00 am","27/9/2020, 12:00 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,30.0,5.0,28.0,2.0,28.0,0.0,56.0,a0N0I00001AFCcJ
4,OC-028428,Active,85.0,['Hunger & homelessness'],Hunger & Homelessness ,,Serve-A-Thon: Deliver Daily Necessities to Homeless People in Sham Shui Po,Date & Time Specific,Sign Up,"ImpactHK, Sham Shui Po","24/9/2020, 8:00 pm","24/9/2020, 10:00 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,3.0,1.0,7.0,-4.0,7.0,0.0,14.0,a0N0I00001AFOJF
5,OC-028427,Active,85.0,['Hunger & homelessness'],Hunger & Homelessness ,,Serve-A-Thon: Deliver Daily Necessities to Homeless People in Sham Shui Po,Date & Time Specific,Sign Up,"ImpactHK, Sham Shui Po","22/9/2020, 7:30 pm","22/9/2020, 9:30 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,3.0,1.0,1.0,2.0,1.0,0.0,2.0,a0N0I00001AFOJF
6,OC-028627,Canceled,68.25,['Environmental education'],Environmental Conservation ,,Serve-A-Thon: Help with sorting donated goods at Crossroads (Youth Welcome),Date & Time Specific,Sign Up,Crossroads Foundation,"21/9/2020, 9:45 am","21/9/2020, 1:00 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,8.0,1.0,4.0,4.0,0.0,0.0,0.0,a0N0I00001AGdvE
7,OC-028628,Active,68.25,['Environmental education'],Environmental Conservation ,,Serve-A-Thon: Help with sorting donated goods at Crossroads (Youth Welcome),Date & Time Specific,Sign Up,Crossroads Foundation,"22/9/2020, 9:45 am","22/9/2020, 1:00 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,8.0,1.0,4.0,4.0,4.0,0.0,13.0,a0N0I00001AGdvE
8,OC-028629,Canceled,68.25,['Environmental education'],Environmental Conservation ,,Serve-A-Thon: Help with sorting donated goods at Crossroads (Youth Welcome),Date & Time Specific,Sign Up,Crossroads Foundation,"23/9/2020, 9:45 am","23/9/2020, 1:00 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,8.0,1.0,1.0,7.0,0.0,0.0,0.0,a0N0I00001AGdvE
9,OC-028631,Canceled,68.25,['Environmental education'],Environmental Conservation ,,Serve-A-Thon: Help with sorting donated goods at Crossroads (Youth Welcome),Date & Time Specific,Sign Up,Crossroads Foundation,"25/9/2020, 9:45 am","25/9/2020, 1:00 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,8.0,1.0,2.0,6.0,0.0,0.0,0.0,a0N0I00001AGdvE
